0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5275956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5277452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2804276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4944860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2804272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1563384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3713098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3712862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2612086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3523106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2609461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1793705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2945332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2945702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1793305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2824192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2482199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2481414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,127322,0,0,0,0,0,0,0,0,0,0,0,0,0,563337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312942,0,0,0,0,0,0,0,0,0,0,0,0,0,2072417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2394985,0,0,0,0,0,0,0,0,0,0,0,0,0,2073558,0,0,0,0,0,0,0,0,0,0,0,0,0,1317364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563638,0,0,0,0,0,0,0,0,0,0,0,0,0,127845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,80762,0,0,0,0,0,0,0,0,0,0,0,0,384088,0,0,0,0,0,0,0,0,0,0,0,0,966735,0,0,0,0,0,0,0,0,0,0,0,0,1675367,0,0,0,0,0,0,0,0,0,0,0,0,2164978,0,0,0,0,0,0,0,0,0,0,0,0,2168892,0,0,0,0,0,0,0,0,0,0,0,0,1675447,0,0,0,0,0,0,0,0,0,0,0,0,970925,0,0,0,0,0,0,0,0,0,0,0,0,384795,0,0,0,0,0,0,0,0,0,0,0,0,81419,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,52046,0,0,0,0,0,0,0,0,0,0,0,262784,0,0,0,0,0,0,0,0,0,0,0,707922,0,0,0,0,0,0,0,0,0,0,0,1321144,0,0,0,0,0,0,0,0,0,0,0,1877180,0,0,0,0,0,0,0,0,0,0,0,2102869,0,0,0,0,0,0,0,0,0,0,0,1877292,0,0,0,0,0,0,0,0,0,0,0,1325770,0,0,0,0,0,0,0,0,0,0,0,709996,0,0,0,0,0,0,0,0,0,0,0,264023,0,0,0,0,0,0,0,0,0,0,0,52382,0,0,0,0,0,0,0,0,0,0,0
